KAZE_총시간,ip / tp,Inlier match count,tp / kp,tiepoint count,keypoint
10.551363945007324,0.9195751138088012,606,0.4796215429403202,659,1374
10.551363945007324,0.7515657620041754,360,0.3486171761280932,479,1374
10.551363945007324,0.6736401673640168,322,0.34045584045584043,478,1404
10.551363945007324,0.9045454545454545,597,0.4925373134328358,660,1340
10.551363945007324,0.7129411764705882,303,0.31716417910447764,425,1340
10.551363945007324,0.5382716049382716,218,0.30223880597014924,405,1340
10.551363945007324,0.6462167689161554,316,0.3210768220617203,489,1523
10.551363945007324,0.9535655058043118,575,0.46744186046511627,603,1290
10.551363945007324,0.7673956262425448,386,0.3866256725595696,503,1301
10.551363945007324,0.7272727272727273,352,0.34375,484,1408
10.551363945007324,0.7397260273972602,324,0.3366641045349731,438,1301
10.551363945007324,0.6601731601731602,305,0.27549194991055453,462,1677
10.551363945007324,0.6636771300448431,296,0.26964933494558646,446,1654
10.551363945007324,0.9078212290502793,650,0.42695289206917114,716,1677
10.551363945007324,0.9178885630498533,626,0.41233373639661425,682,1654
10.551363945007324,0.7735470941883767,386,0.3544034090909091,499,1408
10.551363945007324,0.5539906103286385,236,0.27971109652002624,426,1523
10.551363945007324,0.9768089053803339,1053,0.6428145497912939,1078,1677
10.551363945007324,0.7981220657276995,510,0.3810375670840787,639,1677
10.551363945007324,0.49292929292929294,244,0.295169946332737,495,1677
10.551363945007324,0.8006042296072508,530,0.40024183796856105,662,1654
10.551363945007324,0.5298969072164949,257,0.2932285368802902,485,1654
10.551363945007324,0.6089385474860335,327,0.32466747279322855,537,1654
10.551363945007324,0.5846994535519126,321,0.33192261185006044,549,1654
10.551363945007324,0.8637059724349158,564,0.4287590282337492,653,1523
10.551363945007324,0.6234042553191489,293,0.3338068181818182,470,1408
10.551363945007324,0.728440366972477,397,0.35528031290743156,545,1534
10.551363945007324,0.9138418079096046,647,0.4648719632304662,708,1523
10.551363945007324,0.5857142857142857,328,0.36199095022624433,560,1547
10.551363945007324,0.7180851063829787,405,0.3703217334208798,564,1523
10.551363945007324,0.8945908460471568,645,0.4660633484162896,721,1547
10.551363945007324,0.697265625,357,0.3267389917038928,512,1567
10.551363945007324,0.690522243713733,357,0.34057971014492755,517,1518
10.551363945007324,0.8993377483443709,679,0.48181238034460755,755,1567
10.551363945007324,0.5936170212765958,279,0.3038138332255979,470,1547
10.551363945007324,0.611439842209073,310,0.3277310924369748,507,1547
10.551363945007324,0.8808049535603715,569,0.412252712188896,646,1567
10.551363945007324,0.5142231947483589,235,0.2916400765794512,457,1567
10.551363945007324,0.6194852941176471,337,0.3333333333333333,544,1632
10.551363945007324,0.7570247933884298,458,0.4054959785522788,605,1492
10.551363945007324,0.4915254237288136,232,0.2728323699421965,472,1730
10.551363945007324,0.5877551020408164,288,0.3000612369871402,490,1633
10.551363945007324,0.7657784011220197,546,0.4121387283236994,713,1730
10.551363945007324,0.5515463917525774,321,0.2772748928060981,582,2099
10.551363945007324,0.49371633752244165,275,0.2831723436705643,557,1967
10.551363945007324,0.6200716845878136,346,0.3172256964184196,558,1759
10.551363945007324,0.8339100346020761,723,0.4130538351595998,867,2099
10.551363945007324,0.6393939393939394,422,0.3355363497712252,660,1967
10.551363945007324,0.4992,312,0.2970532319391635,625,2104
10.551363945007324,0.6065318818040435,390,0.31122942884801547,643,2066
10.551363945007324,0.6912144702842378,535,0.36874702239161505,774,2099
10.551363945007324,0.5276967930029155,362,0.32604562737642584,686,2104
10.551363945007324,0.46686303387334316,317,0.31493506493506496,679,2156
10.551363945007324,0.8519668737060041,823,0.4591254752851711,966,2104
10.551363945007324,0.7241379310344828,609,0.39007421150278293,841,2156
10.551363945007324,0.5370370370370371,348,0.31364956437560504,648,2066
10.551363945007324,0.9397769516728625,1264,0.6238404452690167,1345,2156
10.551363945007324,0.6825,546,0.38022813688212925,800,2104
10.551363945007324,0.40939597315436244,244,0.2832699619771863,596,2104
10.551363945007324,0.7130541871921182,579,0.37662337662337664,812,2156
10.551363945007324,0.4056291390728477,245,0.28014842300556586,604,2156
10.551363945007324,0.4556786703601108,329,0.3076267575628462,722,2347
10.551363945007324,0.4415041782729805,317,0.3013008812421318,718,2383
10.551363945007324,0.8446726572528883,658,0.3770571151984511,779,2066
10.551363945007324,0.4722222222222222,255,0.26137463697967084,540,2066
10.551363945007324,0.5843023255813954,402,0.3330106485963214,688,2066
10.551363945007324,0.8421052631578947,624,0.4212620807276862,741,1759
10.551363945007324,0.5347985347985348,292,0.31040363843092666,546,1759
10.551363945007324,0.5857142857142857,328,0.3183627060830017,560,1759
10.551363945007324,0.825531914893617,582,0.4317207593386405,705,1633
10.551363945007324,0.5553398058252427,286,0.3153704837721984,515,1633
10.551363945007324,0.5496031746031746,277,0.3086344151867728,504,1633
10.551363945007324,0.8835904628330996,630,0.4368872549019608,713,1632
10.551363945007324,0.5783132530120482,288,0.30514705882352944,498,1632
10.551363945007324,0.49233716475095785,257,0.31985294117647056,522,1632
10.551363945007324,0.8573487031700289,595,0.45718050065876153,694,1518
10.551363945007324,0.5868263473053892,294,0.33178807947019867,501,1510
10.551363945007324,0.4392156862745098,224,0.28797289666854886,510,1771
10.551363945007324,0.8882758620689655,644,0.4776021080368906,725,1518
10.551363945007324,0.689908256880734,376,0.35528031290743156,545,1534
10.551363945007324,0.6161971830985915,350,0.31820728291316525,568,1785
10.551363945007324,0.8851802403204272,663,0.48826597131681876,749,1534
10.551363945007324,0.7276119402985075,390,0.3424920127795527,536,1565
10.551363945007324,0.684981684981685,374,0.3479923518164436,546,1569
