KAZE_총시간,ip / tp,Inlier match count,tp / kp,tiepoint count,keypoint
11.378609418869019,0.9185779816513762,801,0.47912087912087914,872,1820
11.378609418869019,0.7560240963855421,502,0.3648351648351648,664,1820
11.378609418869019,0.6921824104234527,425,0.3373626373626374,614,1820
11.378609418869019,0.9314040728831725,869,0.5349770642201835,933,1744
11.378609418869019,0.7800632911392406,493,0.3623853211009174,632,1744
11.378609418869019,0.536,268,0.286697247706422,500,1744
11.378609418869019,0.731629392971246,458,0.34452394056136487,626,1817
11.378609418869019,0.9592711682743837,895,0.5389948006932409,933,1731
11.378609418869019,0.7672552166934189,478,0.35990756787983824,623,1731
11.378609418869019,0.7210776545166403,455,0.36452917388792605,631,1731
11.378609418869019,0.8083462132921174,523,0.4155427103403982,647,1557
11.378609418869019,0.745,447,0.30181086519114686,600,1988
11.378609418869019,0.7043189368770764,424,0.29380185456320157,602,2049
11.378609418869019,0.9017467248908297,826,0.4607645875251509,916,1988
11.378609418869019,0.9079685746352413,809,0.43484626647144947,891,2049
11.378609418869019,0.7859477124183006,481,0.36255924170616116,612,1688
11.378609418869019,0.5479930191972077,314,0.31535498073747936,573,1817
11.378609418869019,0.9830628087508821,1393,0.6915568570034163,1417,2049
11.378609418869019,0.8315926892950392,637,0.3853118712273642,766,1988
11.378609418869019,0.583739837398374,359,0.30935613682092555,615,1988
11.378609418869019,0.8072445019404916,624,0.37725719863347973,773,2049
11.378609418869019,0.5727848101265823,362,0.3084431429965837,632,2049
11.378609418869019,0.61,427,0.3098716246126605,700,2259
11.378609418869019,0.6104972375690608,442,0.321206743566992,724,2254
11.378609418869019,0.8912037037037037,770,0.4755090809025867,864,1817
11.378609418869019,0.6332236842105263,385,0.3468339988590987,608,1753
11.378609418869019,0.7730496453900709,545,0.3333333333333333,705,2115
11.378609418869019,0.9140534262485482,787,0.47385800770500824,861,1817
11.378609418869019,0.583739837398374,359,0.3384700055035773,615,1817
11.378609418869019,0.7442489851150202,550,0.3479284369114878,739,2124
11.378609418869019,0.8904593639575972,756,0.4677685950413223,849,1815
11.378609418869019,0.6213592233009708,384,0.337152209492635,618,1833
11.378609418869019,0.7224546722454672,518,0.34438040345821325,717,2082
11.378609418869019,0.9064327485380117,775,0.4664484451718494,855,1833
11.378609418869019,0.5148026315789473,313,0.33443344334433445,608,1818
11.378609418869019,0.60882800608828,400,0.31107954545454547,657,2112
11.378609418869019,0.8596713021491783,680,0.4315330060010911,791,1833
11.378609418869019,0.5063291139240507,280,0.283444387493593,553,1951
11.378609418869019,0.656203288490284,439,0.30674002751031637,669,2181
11.378609418869019,0.8203883495145631,676,0.4223475140953357,824,1951
11.378609418869019,0.4272300469483568,273,0.28719101123595503,639,2225
11.378609418869019,0.5841726618705037,406,0.3306374881065652,695,2102
11.378609418869019,0.7946127946127947,708,0.4004494382022472,891,2225
11.378609418869019,0.48042168674698793,319,0.28682505399568037,664,2315
11.378609418869019,0.4072398190045249,270,0.2832123024348569,663,2341
11.378609418869019,0.5897079276773296,424,0.30337552742616036,719,2370
11.378609418869019,0.8404785643070788,843,0.43326133909287257,1003,2315
11.378609418869019,0.6281094527363185,505,0.34344297308842375,804,2341
11.378609418869019,0.4643835616438356,339,0.30416666666666664,730,2400
11.378609418869019,0.5776942355889725,461,0.30516252390057363,798,2615
11.378609418869019,0.6596736596736597,566,0.36651003844510893,858,2341
11.378609418869019,0.47625,381,0.3333333333333333,800,2400
11.378609418869019,0.4250309789343247,343,0.3154808444096951,807,2558
11.378609418869019,0.8153988868274582,879,0.44916666666666666,1078,2400
11.378609418869019,0.7074898785425101,699,0.3862392494136044,988,2558
11.378609418869019,0.49154746423927176,378,0.2940726577437858,769,2615
11.378609418869019,0.9554020100502513,1521,0.6223612197028929,1592,2558
11.378609418869019,0.6083995459704881,536,0.33690248565965586,881,2615
11.378609418869019,0.36813186813186816,268,0.30333333333333334,728,2400
11.378609418869019,0.6264308012486993,602,0.3674952198852772,961,2615
11.378609418869019,0.3563068920676203,274,0.30062548866301797,769,2558
11.378609418869019,0.3481646273637375,313,0.27712700369913684,899,3244
11.378609418869019,0.37945945945945947,351,0.2840909090909091,925,3256
11.378609418869019,0.8070678127984718,845,0.40038240917782025,1047,2615
11.378609418869019,0.4335766423357664,297,0.26195028680688337,685,2615
11.378609418869019,0.5054229934924078,466,0.3088777219430486,922,2985
11.378609418869019,0.8583247156153051,830,0.4080168776371308,967,2370
11.378609418869019,0.553133514986376,406,0.309704641350211,734,2370
11.378609418869019,0.5258964143426295,396,0.308480131093814,753,2441
11.378609418869019,0.8571428571428571,804,0.4300779458963778,938,2181
11.378609418869019,0.5663338088445078,397,0.3319128787878788,701,2112
11.378609418869019,0.5375886524822695,379,0.30089628681177977,705,2343
11.378609418869019,0.878125,843,0.4401650618982118,960,2181
11.378609418869019,0.4946401225114854,323,0.2994039431453462,653,2181
11.378609418869019,0.44883040935672514,307,0.2838174273858921,684,2410
11.378609418869019,0.8575982996811902,807,0.44554924242424243,941,2112
11.378609418869019,0.5410852713178295,349,0.3036723163841808,645,2124
11.378609418869019,0.4727272727272727,312,0.26128266033254155,660,2526
11.378609418869019,0.8793456032719836,860,0.4604519774011299,978,2124
11.378609418869019,0.6901595744680851,519,0.35555555555555557,752,2115
11.378609418869019,0.6232876712328768,455,0.2935263369521512,730,2487
11.378609418869019,0.9195736434108527,949,0.4858757062146893,1032,2124
11.378609418869019,0.7503152585119798,595,0.35104028331119963,793,2259
11.378609418869019,0.7178807947019867,542,0.3349600709849157,755,2254
