ORB_총시간,ip / tp,Inlier match count,tp / kp,tiepoint count,keypoint
0.9646310806274414,0.8046511627906977,173,0.43,215,500
0.9646310806274414,0.4476744186046512,77,0.344,172,500
0.9646310806274414,0.4514285714285714,79,0.35,175,500
0.9646310806274414,0.7836538461538461,163,0.416,208,500
0.9646310806274414,0.6184971098265896,107,0.346,173,500
0.9646310806274414,0.40993788819875776,66,0.322,161,500
0.9646310806274414,0.5029940119760479,84,0.334,167,500
0.9646310806274414,0.9253112033195021,223,0.482,241,500
0.9646310806274414,0.6790123456790124,110,0.324,162,500
0.9646310806274414,0.6263736263736264,114,0.364,182,500
0.9646310806274414,0.6931818181818182,122,0.352,176,500
0.9646310806274414,0.6011560693641619,104,0.346,173,500
0.9646310806274414,0.5838509316770186,94,0.322,161,500
0.9646310806274414,0.9,198,0.44,220,500
0.9646310806274414,0.8544600938967136,182,0.426,213,500
0.9646310806274414,0.6304347826086957,116,0.368,184,500
0.9646310806274414,0.36075949367088606,57,0.316,158,500
0.9646310806274414,0.9515570934256056,275,0.578,289,500
0.9646310806274414,0.7219251336898396,135,0.374,187,500
0.9646310806274414,0.38311688311688313,59,0.308,154,500
0.9646310806274414,0.6685714285714286,117,0.35,175,500
0.9646310806274414,0.3670886075949367,58,0.316,158,500
0.9646310806274414,0.631578947368421,96,0.304,152,500
0.9646310806274414,0.6533333333333333,98,0.3,150,500
0.9646310806274414,0.5721925133689839,107,0.374,187,500
0.9646310806274414,0.40476190476190477,68,0.336,168,500
0.9646310806274414,0.6502732240437158,119,0.366,183,500
0.9646310806274414,0.7881773399014779,160,0.406,203,500
0.9646310806274414,0.30718954248366015,47,0.306,153,500
0.9646310806274414,0.46540880503144655,74,0.318,159,500
0.9646310806274414,0.7377049180327869,135,0.366,183,500
0.9646310806274414,0.515527950310559,83,0.322,161,500
0.9646310806274414,0.44155844155844154,68,0.308,154,500
0.9646310806274414,0.7389162561576355,150,0.406,203,500
0.9646310806274414,0.24305555555555555,35,0.288,144,500
0.9646310806274414,0.3973509933774834,60,0.302,151,500
0.9646310806274414,0.5628415300546448,103,0.366,183,500
0.9646310806274414,0.2839506172839506,46,0.324,162,500
0.9646310806274414,0.37735849056603776,60,0.318,159,500
0.9646310806274414,0.5297619047619048,89,0.336,168,500
0.9646310806274414,0.3151515151515151,52,0.33,165,500
0.9646310806274414,0.34394904458598724,54,0.314,157,500
0.9646310806274414,0.5786516853932584,103,0.356,178,500
0.9646310806274414,0.32748538011695905,56,0.342,171,500
0.9646310806274414,0.3611111111111111,65,0.36,180,500
0.9646310806274414,0.4121212121212121,68,0.33,165,500
0.9646310806274414,0.592964824120603,118,0.398,199,500
0.9646310806274414,0.4418604651162791,76,0.344,172,500
0.9646310806274414,0.3333333333333333,56,0.336,168,500
0.9646310806274414,0.4121212121212121,68,0.33,165,500
0.9646310806274414,0.4748603351955307,85,0.358,179,500
0.9646310806274414,0.38125,61,0.32,160,500
0.9646310806274414,0.34615384615384615,63,0.364,182,500
0.9646310806274414,0.5478723404255319,103,0.376,188,500
0.9646310806274414,0.4702702702702703,87,0.37,185,500
0.9646310806274414,0.33727810650887574,57,0.338,169,500
0.9646310806274414,0.8388429752066116,203,0.484,242,500
0.9646310806274414,0.5058139534883721,87,0.344,172,500
0.9646310806274414,0.3157894736842105,48,0.304,152,500
0.9646310806274414,0.5480225988700564,97,0.354,177,500
0.9646310806274414,0.294478527607362,48,0.326,163,500
0.9646310806274414,0.3146067415730337,56,0.356,178,500
0.9646310806274414,0.2913907284768212,44,0.302,151,500
0.9646310806274414,0.5691489361702128,107,0.376,188,500
0.9646310806274414,0.29936305732484075,47,0.314,157,500
0.9646310806274414,0.3772455089820359,63,0.334,167,500
0.9646310806274414,0.672316384180791,119,0.354,177,500
0.9646310806274414,0.3246753246753247,50,0.308,154,500
0.9646310806274414,0.34459459459459457,51,0.296,148,500
0.9646310806274414,0.6358695652173914,117,0.368,184,500
0.9646310806274414,0.38181818181818183,63,0.33,165,500
0.9646310806274414,0.36538461538461536,57,0.312,156,500
0.9646310806274414,0.7262569832402235,130,0.358,179,500
0.9646310806274414,0.37575757575757573,62,0.33,165,500
0.9646310806274414,0.36075949367088606,57,0.316,158,500
0.9646310806274414,0.6907216494845361,134,0.388,194,500
0.9646310806274414,0.42073170731707316,69,0.328,164,500
0.9646310806274414,0.3076923076923077,48,0.312,156,500
0.9646310806274414,0.7559808612440191,158,0.418,209,500
0.9646310806274414,0.38461538461538464,65,0.338,169,500
0.9646310806274414,0.4502923976608187,77,0.342,171,500
0.9646310806274414,0.7551020408163265,148,0.392,196,500
0.9646310806274414,0.3782051282051282,59,0.312,156,500
0.9646310806274414,0.42207792207792205,65,0.308,154,500
0.9646310806274414,0.4625,74,0.32,160,500
0.9646310806274414,0.8301886792452831,176,0.424,212,500
0.9646310806274414,0.7554347826086957,139,0.368,184,500
0.9646310806274414,0.5191256830601093,95,0.366,183,500
0.9646310806274414,0.48633879781420764,89,0.366,183,500
0.9646310806274414,0.9741100323624595,301,0.618,309,500
0.9646310806274414,0.5878787878787879,97,0.33,165,500
0.9646310806274414,0.4,66,0.33,165,500
0.9646310806274414,0.35947712418300654,55,0.306,153,500
0.9646310806274414,0.5246913580246914,85,0.324,162,500
0.9646310806274414,0.33532934131736525,56,0.334,167,500
0.9646310806274414,0.36538461538461536,57,0.312,156,500
0.9646310806274414,0.6736842105263158,128,0.38,190,500
0.9646310806274414,0.6178010471204188,118,0.382,191,500
0.9646310806274414,0.5085714285714286,89,0.35,175,500
