ORB_총시간,ip / tp,Inlier match count,tp / kp,tiepoint count,keypoint
1.0250909328460693,0.6212121212121212,123,0.396,198,500
1.0250909328460693,0.23976608187134502,41,0.342,171,500
1.0250909328460693,0.3313953488372093,57,0.344,172,500
1.0250909328460693,0.46153846153846156,78,0.338,169,500
1.0250909328460693,0.4484848484848485,74,0.33,165,500
1.0250909328460693,0.4024390243902439,66,0.328,164,500
1.0250909328460693,0.4585635359116022,83,0.362,181,500
1.0250909328460693,0.5035460992907801,71,0.282,141,500
1.0250909328460693,0.3815789473684211,58,0.304,152,500
1.0250909328460693,0.4074074074074074,66,0.324,162,500
1.0250909328460693,0.45962732919254656,74,0.322,161,500
1.0250909328460693,0.4429530201342282,66,0.298,149,500
1.0250909328460693,0.41875,67,0.32,160,500
1.0250909328460693,0.532051282051282,83,0.312,156,500
1.0250909328460693,0.4451219512195122,73,0.328,164,500
1.0250909328460693,0.5363128491620112,96,0.358,179,500
1.0250909328460693,0.32967032967032966,60,0.364,182,500
1.0250909328460693,0.4567901234567901,74,0.324,162,500
1.0250909328460693,0.5885714285714285,103,0.35,175,500
1.0250909328460693,0.7247191011235955,129,0.356,178,500
1.0250909328460693,0.8388625592417062,177,0.422,211,500
1.0250909328460693,0.7121212121212122,141,0.396,198,500
1.0250909328460693,0.323943661971831,46,0.284,142,500
1.0250909328460693,0.3381294964028777,47,0.278,139,500
1.0250909328460693,0.7419354838709677,138,0.372,186,500
1.0250909328460693,0.6519337016574586,118,0.362,181,500
1.0250909328460693,0.8915094339622641,189,0.424,212,500
1.0250909328460693,0.625,120,0.384,192,500
1.0250909328460693,0.632183908045977,110,0.348,174,500
1.0250909328460693,0.7538461538461538,147,0.39,195,500
1.0250909328460693,0.5088757396449705,86,0.338,169,500
1.0250909328460693,0.7772020725388601,150,0.386,193,500
1.0250909328460693,0.8518518518518519,184,0.432,216,500
1.0250909328460693,0.6193548387096774,96,0.31,155,500
1.0250909328460693,0.4875,78,0.32,160,500
1.0250909328460693,0.9210526315789473,245,0.532,266,500
1.0250909328460693,0.6702127659574468,126,0.376,188,500
1.0250909328460693,0.4692737430167598,84,0.358,179,500
1.0250909328460693,0.510989010989011,93,0.364,182,500
1.0250909328460693,0.4883720930232558,84,0.344,172,500
1.0250909328460693,0.41358024691358025,67,0.324,162,500
1.0250909328460693,0.7170731707317073,147,0.41,205,500
1.0250909328460693,0.8169014084507042,174,0.426,213,500
1.0250909328460693,0.7548076923076923,157,0.416,208,500
1.0250909328460693,0.757396449704142,128,0.338,169,500
1.0250909328460693,0.8177777777777778,184,0.45,225,500
1.0250909328460693,0.7333333333333333,143,0.39,195,500
1.0250909328460693,0.7412935323383084,149,0.402,201,500
1.0250909328460693,0.7166666666666667,129,0.36,180,500
1.0250909328460693,0.4438202247191011,79,0.356,178,500
1.0250909328460693,0.45,81,0.36,180,500
1.0250909328460693,0.8,164,0.41,205,500
1.0250909328460693,0.7009803921568627,143,0.408,204,500
1.0250909328460693,0.6612021857923497,121,0.366,183,500
1.0250909328460693,0.980327868852459,299,0.61,305,500
1.0250909328460693,0.9492753623188406,262,0.552,276,500
1.0250909328460693,0.7619047619047619,160,0.42,210,500
1.0250909328460693,0.6420454545454546,113,0.352,176,500
1.0250909328460693,0.547486033519553,98,0.358,179,500
1.0250909328460693,0.6333333333333333,114,0.36,180,500
1.0250909328460693,0.4972067039106145,89,0.358,179,500
1.0250909328460693,0.9157894736842105,261,0.57,285,500
1.0250909328460693,0.7453703703703703,161,0.432,216,500
1.0250909328460693,0.6467391304347826,119,0.368,184,500
1.0250909328460693,0.6060606060606061,100,0.33,165,500
1.0250909328460693,0.6451612903225806,120,0.372,186,500
1.0250909328460693,0.5176470588235295,88,0.34,170,500
1.0250909328460693,0.8142857142857143,171,0.42,210,500
1.0250909328460693,0.7425149700598802,124,0.334,167,500
1.0250909328460693,0.6179775280898876,110,0.356,178,500
1.0250909328460693,0.6684782608695652,123,0.368,184,500
1.0250909328460693,0.5411764705882353,92,0.34,170,500
1.0250909328460693,0.8923766816143498,199,0.446,223,500
1.0250909328460693,0.8523206751054853,202,0.474,237,500
1.0250909328460693,0.7647058823529411,156,0.408,204,500
1.0250909328460693,0.580110497237569,105,0.362,181,500
1.0250909328460693,0.5961538461538461,93,0.312,156,500
1.0250909328460693,0.9629629629629629,286,0.594,297,500
1.0250909328460693,0.7159090909090909,126,0.352,176,500
1.0250909328460693,0.5142857142857142,90,0.35,175,500
1.0250909328460693,0.6180555555555556,89,0.288,144,500
1.0250909328460693,0.3670886075949367,58,0.316,158,500
1.0250909328460693,0.4303030303030303,71,0.33,165,500
1.0250909328460693,0.4293785310734463,76,0.354,177,500
1.0250909328460693,0.4090909090909091,72,0.352,176,500
1.0250909328460693,0.6839378238341969,132,0.386,193,500
1.0250909328460693,0.5714285714285714,104,0.364,182,500
1.0250909328460693,0.6526946107784432,109,0.334,167,500
1.0250909328460693,0.3314285714285714,58,0.35,175,500
1.0250909328460693,0.3878787878787879,64,0.33,165,500
1.0250909328460693,0.45348837209302323,78,0.344,172,500
1.0250909328460693,0.4419889502762431,80,0.362,181,500
1.0250909328460693,0.8868778280542986,196,0.442,221,500
1.0250909328460693,0.7058823529411765,132,0.374,187,500
1.0250909328460693,0.6363636363636364,105,0.33,165,500
1.0250909328460693,0.32666666666666666,49,0.3,150,500
1.0250909328460693,0.41379310344827586,72,0.348,174,500
1.0250909328460693,0.4262295081967213,78,0.366,183,500
1.0250909328460693,0.3468208092485549,60,0.346,173,500
