SIFT_총시간,ip / tp,Inlier match count,tp / kp,tiepoint count,keypoint
7.887485027313232,0.4548238897396631,297,0.2725375626043406,653,2396
7.887485027313232,0.4181494661921708,235,0.2345575959933222,562,2396
7.887485027313232,0.38188277087033745,215,0.23497495826377296,563,2396
7.887485027313232,0.5585443037974683,353,0.2637729549248748,632,2396
7.887485027313232,0.6334164588528678,508,0.3336106489184692,802,2404
7.887485027313232,0.6364795918367347,499,0.3163841807909605,784,2478
7.887485027313232,0.6577608142493638,517,0.32081632653061226,786,2450
7.887485027313232,0.841081081081081,778,0.45077972709551656,925,2052
7.887485027313232,0.7987951807228916,663,0.4044834307992203,830,2052
7.887485027313232,0.7180500658761528,545,0.36988304093567254,759,2052
7.887485027313232,0.665648854961832,436,0.31920077972709554,655,2052
7.887485027313232,0.6256239600665557,376,0.2928849902534113,601,2052
7.887485027313232,0.5706806282722513,327,0.27923976608187134,573,2052
7.887485027313232,0.5051334702258727,246,0.23732943469785575,487,2052
7.887485027313232,0.6470588235294118,363,0.2733918128654971,561,2052
7.887485027313232,0.6925373134328359,464,0.32651072124756336,670,2052
7.887485027313232,0.6559297218155198,448,0.3328460038986355,683,2052
7.887485027313232,0.5513595166163142,365,0.2753743760399334,662,2404
7.887485027313232,0.8534675615212528,763,0.4778193479422769,894,1871
7.887485027313232,0.7987179487179488,623,0.4168893639764832,780,1871
7.887485027313232,0.7305475504322767,507,0.3709246392303581,694,1871
7.887485027313232,0.7016393442622951,428,0.3260288615713522,610,1871
7.887485027313232,0.648014440433213,359,0.29609834313201494,554,1871
7.887485027313232,0.5860655737704918,286,0.26082308925708175,488,1871
7.887485027313232,0.5481651376146789,239,0.2330304649919829,436,1871
7.887485027313232,0.6660516605166051,361,0.2896846606092998,542,1871
7.887485027313232,0.6555555555555556,413,0.3367183324425441,630,1871
7.887485027313232,0.5705614567526556,376,0.3236738703339882,659,2036
7.887485027313232,0.4768740031897927,299,0.2608153078202995,627,2404
7.887485027313232,0.837129840546697,735,0.4779531845400109,878,1837
7.887485027313232,0.780250347705146,561,0.3913990201415351,719,1837
7.887485027313232,0.6863905325443787,464,0.3679912901469788,676,1837
7.887485027313232,0.688026981450253,408,0.32280892759934676,593,1837
7.887485027313232,0.5956175298804781,299,0.2732716385410996,502,1837
7.887485027313232,0.4892601431980907,205,0.22808927599346762,419,1837
7.887485027313232,0.6084070796460177,275,0.24605334784975502,452,1837
7.887485027313232,0.6893542757417103,395,0.31192161132280893,573,1837
7.887485027313232,0.6325878594249201,396,0.34077299945563416,626,1837
7.887485027313232,0.5359477124183006,328,0.3005893909626719,612,2036
7.887485027313232,0.45695364238410596,276,0.2512479201331115,604,2404
7.887485027313232,0.8269720101781171,650,0.4403361344537815,786,1785
7.887485027313232,0.7823613086770982,550,0.3938375350140056,703,1785
7.887485027313232,0.734789391575663,471,0.35910364145658263,641,1785
7.887485027313232,0.6613226452905812,330,0.2795518207282913,499,1785
7.887485027313232,0.5073529411764706,207,0.22857142857142856,408,1785
7.887485027313232,0.6234567901234568,303,0.2722689075630252,486,1785
7.887485027313232,0.6526138279932546,387,0.3322128851540616,593,1785
7.887485027313232,0.6051779935275081,374,0.346218487394958,618,1785
7.887485027313232,0.5084745762711864,300,0.28978388998035365,590,2036
7.887485027313232,0.8468965517241379,614,0.43543543543543545,725,1665
7.887485027313232,0.8193146417445483,526,0.3855855855855856,642,1665
7.887485027313232,0.7546125461254612,409,0.32552552552552555,542,1665
7.887485027313232,0.5538116591928252,247,0.26786786786786787,446,1665
7.887485027313232,0.3550488599348534,109,0.1843843843843844,307,1665
7.887485027313232,0.5478723404255319,206,0.22582582582582583,376,1665
7.887485027313232,0.648068669527897,302,0.2798798798798799,466,1665
7.887485027313232,0.6891385767790262,368,0.3207207207207207,534,1665
7.887485027313232,0.5580985915492958,317,0.3368920521945433,568,1686
7.887485027313232,0.48405253283302063,258,0.26178781925343814,533,2036
7.887485027313232,0.8706896551724138,606,0.46648793565683644,696,1492
7.887485027313232,0.7852233676975945,457,0.3900804289544236,582,1492
7.887485027313232,0.6122004357298475,281,0.30764075067024127,459,1492
7.887485027313232,0.4126984126984127,130,0.2111260053619303,315,1492
7.887485027313232,0.5885558583106267,216,0.24597855227882037,367,1492
7.887485027313232,0.6638297872340425,312,0.31501340482573725,470,1492
7.887485027313232,0.6019417475728155,310,0.34517426273458446,515,1492
7.887485027313232,0.5374531835205992,287,0.3167259786476868,534,1686
7.887485027313232,0.39641434262948205,199,0.24656188605108054,502,2036
7.887485027313232,0.8571428571428571,540,0.4271186440677966,630,1475
7.887485027313232,0.7248322147651006,324,0.3030508474576271,447,1475
7.887485027313232,0.453125,145,0.21694915254237288,320,1475
7.887485027313232,0.6088082901554405,235,0.26169491525423727,386,1475
7.887485027313232,0.6643518518518519,287,0.2928813559322034,432,1475
7.887485027313232,0.545271629778672,271,0.3369491525423729,497,1475
7.887485027313232,0.498,249,0.29655990510083036,500,1686
7.887485027313232,0.7656565656565657,379,0.3767123287671233,495,1314
7.887485027313232,0.5535714285714286,186,0.2557077625570776,336,1314
7.887485027313232,0.3576158940397351,108,0.2298325722983257,302,1314
7.887485027313232,0.5254777070063694,165,0.2389649923896499,314,1314
7.887485027313232,0.6989528795811518,267,0.2907153729071537,382,1314
7.887485027313232,0.5752427184466019,237,0.3135464231354642,412,1314
7.887485027313232,0.4766949152542373,225,0.33618233618233617,472,1404
7.887485027313232,0.4722222222222222,221,0.2775800711743772,468,1686
7.887485027313232,0.7973333333333333,299,0.3354203935599284,375,1118
