ORB_총시간,ip / tp,Inlier match count,tp / kp,tiepoint count,keypoint
1.0677146911621094,0.6481481481481481,105,0.324,162,500
1.0677146911621094,0.46621621621621623,69,0.296,148,500
1.0677146911621094,0.5256410256410257,82,0.312,156,500
1.0677146911621094,0.625,105,0.336,168,500
1.0677146911621094,0.7295918367346939,143,0.392,196,500
1.0677146911621094,0.689119170984456,133,0.386,193,500
1.0677146911621094,0.7172774869109948,137,0.382,191,500
1.0677146911621094,0.7248677248677249,137,0.378,189,500
1.0677146911621094,0.5609756097560976,92,0.328,164,500
1.0677146911621094,0.5602409638554217,93,0.332,166,500
1.0677146911621094,0.5060975609756098,83,0.328,164,500
1.0677146911621094,0.4866666666666667,73,0.3,150,500
1.0677146911621094,0.5664335664335665,81,0.286,143,500
1.0677146911621094,0.4391891891891892,65,0.296,148,500
1.0677146911621094,0.5894039735099338,89,0.302,151,500
1.0677146911621094,0.6686746987951807,111,0.332,166,500
1.0677146911621094,0.621301775147929,105,0.338,169,500
1.0677146911621094,0.5266272189349113,89,0.338,169,500
1.0677146911621094,0.772020725388601,149,0.386,193,500
1.0677146911621094,0.6331360946745562,107,0.338,169,500
1.0677146911621094,0.6125,98,0.32,160,500
1.0677146911621094,0.4875,78,0.32,160,500
1.0677146911621094,0.5189873417721519,82,0.316,158,500
1.0677146911621094,0.5441176470588235,74,0.272,136,500
1.0677146911621094,0.4489795918367347,66,0.294,147,500
1.0677146911621094,0.581081081081081,86,0.296,148,500
1.0677146911621094,0.6273291925465838,101,0.322,161,500
1.0677146911621094,0.6227544910179641,104,0.334,167,500
1.0677146911621094,0.5918367346938775,87,0.294,147,500
1.0677146911621094,0.797979797979798,158,0.396,198,500
1.0677146911621094,0.7065868263473054,118,0.334,167,500
1.0677146911621094,0.6645161290322581,103,0.31,155,500
1.0677146911621094,0.6097560975609756,100,0.328,164,500
1.0677146911621094,0.5167785234899329,77,0.298,149,500
1.0677146911621094,0.5034965034965035,72,0.286,143,500
1.0677146911621094,0.42011834319526625,71,0.338,169,500
1.0677146911621094,0.6193181818181818,109,0.352,176,500
1.0677146911621094,0.61875,99,0.32,160,500
1.0677146911621094,0.5987654320987654,97,0.324,162,500
1.0677146911621094,0.5178571428571429,87,0.336,168,500
1.0677146911621094,0.748792270531401,155,0.414,207,500
1.0677146911621094,0.6936416184971098,120,0.346,173,500
1.0677146911621094,0.6836158192090396,121,0.354,177,500
1.0677146911621094,0.6375,102,0.32,160,500
1.0677146911621094,0.45985401459854014,63,0.274,137,500
1.0677146911621094,0.5246913580246914,85,0.324,162,500
1.0677146911621094,0.5930232558139535,102,0.344,172,500
1.0677146911621094,0.6081081081081081,90,0.296,148,500
1.0677146911621094,0.6271186440677966,111,0.354,177,500
1.0677146911621094,0.8245614035087719,188,0.456,228,500
1.0677146911621094,0.7626262626262627,151,0.396,198,500
1.0677146911621094,0.676829268292683,111,0.328,164,500
1.0677146911621094,0.4246575342465753,62,0.292,146,500
1.0677146911621094,0.5945945945945946,88,0.296,148,500
1.0677146911621094,0.39473684210526316,60,0.304,152,500
1.0677146911621094,0.4675324675324675,72,0.308,154,500
1.0677146911621094,0.5875,94,0.32,160,500
1.0677146911621094,0.610738255033557,91,0.298,149,500
1.0677146911621094,0.6197183098591549,88,0.284,142,500
1.0677146911621094,0.8722466960352423,198,0.454,227,500
1.0677146911621094,0.7365591397849462,137,0.372,186,500
1.0677146911621094,0.4266666666666667,64,0.3,150,500
1.0677146911621094,0.47368421052631576,63,0.266,133,500
1.0677146911621094,0.38235294117647056,65,0.34,170,500
1.0677146911621094,0.5232558139534884,90,0.344,172,500
1.0677146911621094,0.572289156626506,95,0.332,166,500
1.0677146911621094,0.6258503401360545,92,0.294,147,500
1.0677146911621094,0.5923566878980892,93,0.314,157,500
1.0677146911621094,0.801980198019802,162,0.404,202,500
1.0677146911621094,0.4025974025974026,62,0.308,154,500
1.0677146911621094,0.4852941176470588,66,0.272,136,500
1.0677146911621094,0.40476190476190477,68,0.336,168,500
1.0677146911621094,0.536723163841808,95,0.354,177,500
1.0677146911621094,0.5256410256410257,82,0.312,156,500
1.0677146911621094,0.5735294117647058,78,0.272,136,500
1.0677146911621094,0.6746987951807228,112,0.332,166,500
1.0677146911621094,0.5255474452554745,72,0.274,137,500
1.0677146911621094,0.4383561643835616,64,0.292,146,500
1.0677146911621094,0.5670731707317073,93,0.328,164,500
1.0677146911621094,0.5833333333333334,105,0.36,180,500
1.0677146911621094,0.5,82,0.328,164,500
1.0677146911621094,0.42857142857142855,69,0.322,161,500
1.0677146911621094,0.6180555555555556,89,0.288,144,500
1.0677146911621094,0.8181818181818182,162,0.396,198,500
1.0677146911621094,0.6123595505617978,109,0.356,178,500
1.0677146911621094,0.45180722891566266,75,0.332,166,500
1.0677146911621094,0.7758620689655172,135,0.348,174,500
1.0677146911621094,0.8256880733944955,180,0.436,218,500
1.0677146911621094,0.6120218579234973,112,0.366,183,500
1.0677146911621094,0.3466666666666667,52,0.3,150,500
1.0677146911621094,0.4936708860759494,78,0.316,158,500
1.0677146911621094,0.8976377952755905,228,0.508,254,500
1.0677146911621094,0.743455497382199,142,0.382,191,500
1.0677146911621094,0.5304878048780488,87,0.328,164,500
1.0677146911621094,0.7258064516129032,135,0.372,186,500
1.0677146911621094,0.8177777777777778,184,0.45,225,500
1.0677146911621094,0.8072916666666666,155,0.384,192,500
1.0677146911621094,0.5244755244755245,75,0.286,143,500
1.0677146911621094,0.30935251798561153,43,0.278,139,500
1.0677146911621094,0.9240506329113924,219,0.474,237,500
