SIFT_시간,평균 정상점 정합률,최대 정상점 정합률,평균 Inlier match 수,평균 영상 정합률,평균 tiepoint 수,평균 keypoint 수
14.154338359832764,0.49445223482402734,0.8966861598440545,510.41747572815535,0.30067782723731934,987.2233009708738,3296.5922330097087
KAZE_시간,평균 정상점 정합률,최대 정상점 정합률,평균 Inlier match 수,평균 영상 정합률,평균 tiepoint 수,평균 keypoint 수
11.054298400878906,0.6893700925789836,0.9840881272949816,635.1650485436893,0.3756144698212675,891.8349514563107,2388.8883495145633
ORB_시간,평균 정상점 정합률,최대 정상점 정합률,평균 Inlier match 수,평균 영상 정합률,평균 tiepoint 수,평균 keypoint 수
0.9796116352081299,0.5602995396687014,0.9765100671140939,106.58252427184466,0.3651359223300971,182.56796116504853,500.0
SIFT_시간,평균 정상점 정합률,최대 정상점 정합률,평균 Inlier match 수,평균 영상 정합률,평균 tiepoint 수,평균 keypoint 수
14.58495044708252,0.49445223482402734,0.8966861598440545,510.41747572815535,0.30067782723731934,987.2233009708738,3296.5922330097087
KAZE_시간,평균 정상점 정합률,최대 정상점 정합률,평균 Inlier match 수,평균 영상 정합률,평균 tiepoint 수,평균 keypoint 수
11.378609418869019,0.6893700925789836,0.9840881272949816,635.1650485436893,0.3756144698212675,891.8349514563107,2388.8883495145633
ORB_시간,평균 정상점 정합률,최대 정상점 정합률,평균 Inlier match 수,평균 영상 정합률,평균 tiepoint 수,평균 keypoint 수
0.9646310806274414,0.5602995396687014,0.9765100671140939,106.58252427184466,0.3651359223300971,182.56796116504853,500.0
