ORB_총시간,ip / tp,Inlier match count,tp / kp,tiepoint count,keypoint
0.8890137672424316,0.9348837209302325,201,0.43,215,500
0.8890137672424316,0.6390532544378699,108,0.338,169,500
0.8890137672424316,0.37349397590361444,62,0.332,166,500
0.8890137672424316,0.8284313725490197,169,0.408,204,500
0.8890137672424316,0.6054054054054054,112,0.37,185,500
0.8890137672424316,0.3416149068322981,55,0.322,161,500
0.8890137672424316,0.4293785310734463,76,0.354,177,500
0.8890137672424316,0.888,222,0.5,250,500
0.8890137672424316,0.4777777777777778,86,0.36,180,500
0.8890137672424316,0.5086705202312138,88,0.346,173,500
0.8890137672424316,0.6265060240963856,104,0.332,166,500
0.8890137672424316,0.5232558139534884,90,0.344,172,500
0.8890137672424316,0.5380116959064327,92,0.342,171,500
0.8890137672424316,0.8766519823788547,199,0.454,227,500
0.8890137672424316,0.8584905660377359,182,0.424,212,500
0.8890137672424316,0.6178010471204188,118,0.382,191,500
0.8890137672424316,0.410958904109589,60,0.292,146,500
0.8890137672424316,0.9363957597173145,265,0.566,283,500
0.8890137672424316,0.728110599078341,158,0.434,217,500
0.8890137672424316,0.43125,69,0.32,160,500
0.8890137672424316,0.764102564102564,149,0.39,195,500
0.8890137672424316,0.44785276073619634,73,0.326,163,500
0.8890137672424316,0.49746192893401014,98,0.394,197,500
0.8890137672424316,0.5561797752808989,99,0.356,178,500
0.8890137672424316,0.4885057471264368,85,0.348,174,500
0.8890137672424316,0.40625,65,0.32,160,500
0.8890137672424316,0.5792349726775956,106,0.366,183,500
0.8890137672424316,0.7195767195767195,136,0.378,189,500
0.8890137672424316,0.46153846153846156,78,0.338,169,500
0.8890137672424316,0.4591194968553459,73,0.318,159,500
0.8890137672424316,0.8134715025906736,157,0.386,193,500
0.8890137672424316,0.46405228758169936,71,0.306,153,500
0.8890137672424316,0.4652777777777778,67,0.288,144,500
0.8890137672424316,0.7288135593220338,129,0.354,177,500
0.8890137672424316,0.31788079470198677,48,0.302,151,500
0.8890137672424316,0.477124183006536,73,0.306,153,500
0.8890137672424316,0.6536312849162011,117,0.358,179,500
0.8890137672424316,0.2814814814814815,38,0.27,135,500
0.8890137672424316,0.46368715083798884,83,0.358,179,500
0.8890137672424316,0.6622516556291391,100,0.302,151,500
0.8890137672424316,0.41818181818181815,69,0.33,165,500
0.8890137672424316,0.40384615384615385,63,0.312,156,500
0.8890137672424316,0.609375,117,0.384,192,500
0.8890137672424316,0.4144736842105263,63,0.304,152,500
0.8890137672424316,0.3473053892215569,58,0.334,167,500
0.8890137672424316,0.4647058823529412,79,0.34,170,500
0.8890137672424316,0.5743589743589743,112,0.39,195,500
0.8890137672424316,0.5483870967741935,102,0.372,186,500
0.8890137672424316,0.34502923976608185,59,0.342,171,500
0.8890137672424316,0.3977272727272727,70,0.352,176,500
0.8890137672424316,0.47023809523809523,79,0.336,168,500
0.8890137672424316,0.36645962732919257,59,0.322,161,500
0.8890137672424316,0.3161290322580645,49,0.31,155,500
0.8890137672424316,0.7115384615384616,148,0.416,208,500
0.8890137672424316,0.7010309278350515,136,0.388,194,500
0.8890137672424316,0.4692737430167598,84,0.358,179,500
0.8890137672424316,0.9083969465648855,238,0.524,262,500
0.8890137672424316,0.6519337016574586,118,0.362,181,500
0.8890137672424316,0.4358974358974359,68,0.312,156,500
0.8890137672424316,0.5657142857142857,99,0.35,175,500
0.8890137672424316,0.41025641025641024,64,0.312,156,500
0.8890137672424316,0.3764705882352941,64,0.34,170,500
0.8890137672424316,0.34355828220858897,56,0.326,163,500
0.8890137672424316,0.6486486486486487,120,0.37,185,500
0.8890137672424316,0.379746835443038,60,0.316,158,500
0.8890137672424316,0.6373056994818653,123,0.386,193,500
0.8890137672424316,0.591715976331361,100,0.338,169,500
0.8890137672424316,0.3855421686746988,64,0.332,166,500
0.8890137672424316,0.6648351648351648,121,0.364,182,500
0.8890137672424316,0.7365591397849462,137,0.372,186,500
0.8890137672424316,0.49162011173184356,88,0.358,179,500
0.8890137672424316,0.43523316062176165,84,0.386,193,500
0.8890137672424316,0.729064039408867,148,0.406,203,500
0.8890137672424316,0.47802197802197804,87,0.364,182,500
0.8890137672424316,0.45121951219512196,74,0.328,164,500
0.8890137672424316,0.7863636363636364,173,0.44,220,500
0.8890137672424316,0.425,68,0.32,160,500
0.8890137672424316,0.3096774193548387,48,0.31,155,500
0.8890137672424316,0.7567567567567568,140,0.37,185,500
0.8890137672424316,0.3933333333333333,59,0.3,150,500
0.8890137672424316,0.4620253164556962,73,0.316,158,500
0.8890137672424316,0.7397959183673469,145,0.392,196,500
0.8890137672424316,0.46987951807228917,78,0.332,166,500
0.8890137672424316,0.5055555555555555,91,0.36,180,500
0.8890137672424316,0.4240506329113924,67,0.316,158,500
0.8890137672424316,0.6911764705882353,141,0.408,204,500
