SIFT_시간,평균 정상점 정합률,최대 정상점 정합률,평균 Inlier match 수,평균 영상 정합률,평균 tiepoint 수,평균 keypoint 수
7.929588794708252,0.5254363454706077,0.8793706293706294,267.64778325123154,0.292990545477707,485.23645320197045,1666.4556650246304
KAZE_시간,평균 정상점 정합률,최대 정상점 정합률,평균 Inlier match 수,평균 영상 정합률,평균 tiepoint 수,평균 keypoint 수
9.282866716384888,0.6950096133332113,0.9884453781512605,268.1527093596059,0.3290825762065975,366.6650246305419,1120.9802955665025
ORB_시간,평균 정상점 정합률,최대 정상점 정합률,평균 Inlier match 수,평균 영상 정합률,평균 tiepoint 수,평균 keypoint 수
1.0790574550628662,0.5887555764245544,0.9731543624161074,105.66995073891626,0.34619704433497533,173.0985221674877,500.0
SIFT_시간,평균 정상점 정합률,최대 정상점 정합률,평균 Inlier match 수,평균 영상 정합률,평균 tiepoint 수,평균 keypoint 수
7.887485027313232,0.5254363454706077,0.8793706293706294,267.64778325123154,0.292990545477707,485.23645320197045,1666.4556650246304
KAZE_시간,평균 정상점 정합률,최대 정상점 정합률,평균 Inlier match 수,평균 영상 정합률,평균 tiepoint 수,평균 keypoint 수
9.38878846168518,0.6950096133332113,0.9884453781512605,268.1527093596059,0.3290825762065975,366.6650246305419,1120.9802955665025
ORB_시간,평균 정상점 정합률,최대 정상점 정합률,평균 Inlier match 수,평균 영상 정합률,평균 tiepoint 수,평균 keypoint 수
1.0677146911621094,0.5887555764245544,0.9731543624161074,105.66995073891626,0.34619704433497533,173.0985221674877,500.0
